Métrique,Labels,Unité,Source physique,Appareil source,Chemin complet,Producteur,Intervalle redb,Consommateurs,Notes
venus_shunt_ah_charged_today,,Ah,Victron VenusOS D-Bus,SmartShunt,VenusOS D-Bus → NanoPi → energy-manager calcul journalier → santuario/system/venus → write_venus_smartshunt(),daly-bms-server,5s,API /api/v1/history/energy,Ah chargés aujourd'hui
venus_shunt_ah_discharged_today,,Ah,Victron VenusOS D-Bus,SmartShunt,VenusOS D-Bus → NanoPi → energy-manager calcul journalier → santuario/system/venus → write_venus_smartshunt(),daly-bms-server,5s,API /api/v1/history/energy,Ah déchargés aujourd'hui
venus_inverter_voltage_v,,V,Victron VenusOS D-Bus,VEBus MultiPlus/Quattro,VenusOS D-Bus → NanoPi → N/{pid}/vebus/{id}/Dc/0/Voltage → energy-manager → santuario/inverter/venus → write_venus_inverter(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Onduleur Tension DC / Tensions DC),Tension DC entrée onduleur
venus_inverter_current_a,,A,Victron VenusOS D-Bus,VEBus MultiPlus/Quattro,VenusOS D-Bus → NanoPi → N/{pid}/vebus/{id}/Dc/0/Current → energy-manager → santuario/inverter/venus → write_venus_inverter(),daly-bms-server,5s,aucun consommateur (orphelin),Courant DC entrée onduleur
venus_inverter_power_w,,W,Victron VenusOS D-Bus,VEBus MultiPlus/Quattro,VenusOS D-Bus → NanoPi → N/{pid}/vebus/{id}/Dc/0/Power → energy-manager → santuario/inverter/venus → write_venus_inverter(),daly-bms-server,5s,API /api/v1/chart/edge-history | Dashboard /dashboard/visualization,Puissance DC entrée onduleur
venus_inverter_ac_output_power_w,,W,Victron VenusOS D-Bus,VEBus MultiPlus/Quattro,VenusOS D-Bus → NanoPi → N/{pid}/vebus/{id}/Ac/Out/L1/P → energy-manager → santuario/inverter/venus → write_venus_inverter(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Onduleur Sortie AC) | API /api/v1/chart/edge-history | Dashboard /dashboard/visualization,Puissance AC sortie onduleur L1
venus_inverter_ac_output_voltage_v,,V,Victron VenusOS D-Bus,VEBus MultiPlus/Quattro,VenusOS D-Bus → NanoPi → N/{pid}/vebus/{id}/Ac/Out/L1/V → energy-manager → santuario/inverter/venus → write_venus_inverter(),daly-bms-server,5s,aucun consommateur (orphelin),Tension AC sortie L1
venus_inverter_ac_output_current_a,,A,Victron VenusOS D-Bus,VEBus MultiPlus/Quattro,VenusOS D-Bus → NanoPi → N/{pid}/vebus/{id}/Ac/Out/L1/I → energy-manager → santuario/inverter/venus → write_venus_inverter(),daly-bms-server,5s,aucun consommateur (orphelin),Courant AC sortie L1
venus_inverter_ac_freq_hz,,Hz,Victron VenusOS D-Bus,VEBus MultiPlus/Quattro,VenusOS D-Bus → NanoPi → N/{pid}/vebus/{id}/Ac/Out/L1/F → energy-manager → santuario/inverter/venus → write_venus_inverter(),daly-bms-server,5s,aucun consommateur (orphelin),Fréquence AC sortie
venus_inverter_ac_in_ignore,,0/1,Victron VenusOS D-Bus,VEBus MultiPlus/Quattro,VenusOS D-Bus → NanoPi → N/{pid}/vebus/{id}/Ac/State/IgnoreAcIn1 → energy-manager → santuario/inverter/venus → write_venus_inverter(),daly-bms-server,5s,aucun consommateur (orphelin),1 = îlotage forcé
venus_temp_c,instance,°C,API Open-Meteo (Internet),Open-Meteo API,energy-manager meteo (poll API) → santuario/heat/1/venus → daly-bms-server handle_temperature_topic() → write_venus_temperature(),daly-bms-server,60s,Grafana grafana-ess_dashboard.json (Température Ext. / Températures),Température extérieure (modèle météo)
venus_humidity_percent,instance,%,API Open-Meteo (Internet),Open-Meteo API,energy-manager meteo → santuario/heat/1/venus → write_venus_temperature(),daly-bms-server,60s,aucun consommateur (orphelin),Humidité extérieure
venus_heatpump_power_w,mqtt_index,W,Multiple,LG ThinQ (idx 1) / ET112 0x08 (idx 8) / ET112 0x09 (idx 9),Sources multiples → santuario/heatpump/{idx}/venus → daly-bms-server handle_heatpump_topic() → write_venus_heatpump(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Chauffe-Eau Puissance),Puissance AC chauffe-eau / consommation
venus_heatpump_energy_kwh,mqtt_index,kWh,Multiple,LG ThinQ (idx 1) / ET112 0x08 / 0x09,santuario/heatpump/{idx}/venus → write_venus_heatpump(),daly-bms-server,30s,aucun consommateur (orphelin),Énergie cumulée consommée
venus_heatpump_state,mqtt_index,int,Multiple,LG ThinQ (idx 1) / ET112,santuario/heatpump/{idx}/venus → write_venus_heatpump(),daly-bms-server,5s,aucun consommateur (orphelin),État (0=Off 1=PAC 2=Turbo)
venus_heatpump_temp_c,mqtt_index,°C,LG ThinQ Cloud API,LG Therma V chauffe-eau (idx 1),LG ThinQ API → energy-manager water_heater → santuario/heatpump/1/venus → write_venus_heatpump(),daly-bms-server,60s,Grafana grafana-ess_dashboard.json (Chauffe-Eau Temp / Températures),Température eau actuelle
venus_heatpump_target_temp_c,mqtt_index,°C,LG ThinQ Cloud API,LG Therma V chauffe-eau (idx 1),LG ThinQ API → energy-manager → santuario/heatpump/1/venus → write_venus_heatpump(),daly-bms-server,60s,aucun consommateur (orphelin),Consigne température
ats_active_source,,0/1/2,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.active_source → write_ats(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (ATS Source Active),0=Onduleur 1=Réseau 2=Neutre
ats_voltage_v,,V,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → moyenne 3 phases source active → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Tension moyenne source active
ats_freq_hz,,Hz,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → freq1_hz ou freq2_hz selon source active → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Fréquence source active
ats_v1a,,V,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.v1a → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin — vu via /dashboard/ats temps réel),Tension Source1 phase A
ats_v1b,,V,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.v1b → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Tension Source1 phase B
ats_v1c,,V,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.v1c → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Tension Source1 phase C
ats_v2a,,V,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.v2a → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Tension Source2 phase A
ats_v2b,,V,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.v2b → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Tension Source2 phase B
ats_v2c,,V,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.v2c → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Tension Source2 phase C
ats_freq1_hz,,Hz,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.freq1_hz → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Fréquence Source1
ats_freq2_hz,,Hz,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.freq2_hz → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Fréquence Source2
ats_sw1_closed,,0/1,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.sw1_closed → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Contacteur Source1 fermé
ats_sw2_closed,,0/1,RS485 /dev/ttyUSB0,ATS CHINT NSR-250W,RS485 ATS → AtsSnapshot.sw2_closed → write_ats(),daly-bms-server,5s,aucun consommateur (orphelin),Contacteur Source2 fermé
tasmota_power_w,id,W,MQTT Tasmota,Tongou smart switch (tongou_3BC764),tele/{id}/SENSOR → TasmotaSnapshot.power_w → write_tasmota(),daly-bms-server,5s,aucun consommateur (orphelin — vu via /dashboard/tasmota temps réel),Puissance mesurée
tasmota_voltage_v,id,V,MQTT Tasmota,Tongou smart switch,tele/{id}/SENSOR → write_tasmota(),daly-bms-server,5s,aucun consommateur (orphelin),Tension mesurée
tasmota_current_a,id,A,MQTT Tasmota,Tongou smart switch,tele/{id}/SENSOR → write_tasmota(),daly-bms-server,5s,aucun consommateur (orphelin),Courant mesuré
tasmota_energy_today_kwh,id,kWh,MQTT Tasmota,Tongou smart switch,tele/{id}/SENSOR → write_tasmota(),daly-bms-server,30s,aucun consommateur (orphelin),Énergie du jour
tasmota_power_on,id,0/1,MQTT Tasmota,Tongou smart switch,stat/{id}/POWER → write_tasmota(),daly-bms-server,5s,aucun consommateur (orphelin),Relais allumé
shelly_power_w,id,W,MQTT Shelly,Shelly Pro 2PM (ec62608840a4),shellypro2pm-{id}/events/rpc → ShellyEmSnapshot.total_power_w → write_shelly(),daly-bms-server,5s,aucun consommateur (orphelin — vu via /dashboard/shelly temps réel),Puissance totale ch0+ch1
shelly_voltage_v,id,V,MQTT Shelly,Shelly Pro 2PM,events/rpc → ShellyEmSnapshot.channel_0.voltage_v → write_shelly(),daly-bms-server,5s,aucun consommateur (orphelin),Tension canal 0
shelly_channel_power_w,id + channel,W,MQTT Shelly,Shelly Pro 2PM,events/rpc → ShellyEmSnapshot.channel_{n}.power_w → write_shelly(),daly-bms-server,5s,aucun consommateur (orphelin),Puissance par canal
shelly_current_a,id + channel,A,MQTT Shelly,Shelly Pro 2PM,events/rpc → write_shelly(),daly-bms-server,5s,aucun consommateur (orphelin),Courant par canal
shelly_output,id + channel,0/1,MQTT Shelly,Shelly Pro 2PM,events/rpc → write_shelly(),daly-bms-server,5s,aucun consommateur (orphelin),État relais par canal
shelly_energy_wh,id + channel,Wh,MQTT Shelly,Shelly Pro 2PM,events/rpc → write_shelly(),daly-bms-server,30s,aucun consommateur (orphelin),Énergie cumulée par canal
solar_total_w,,W,Calculé,energy-manager (agrégat dc_pv + pvinv),energy-manager solar_power::writer_task() → POST /api/v1/solar/mppt-yield → write_solar_total(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Solaire Total / Flux de Puissance / Détail Production / Irradiance) | Grafana grafana-pv_dashboard.json (Puissance PV / Courbe temps réel / Pic Jour / Profil Production) | Grafana grafana-solar_pv_dashboard.json (PV Puissance temps réel) | Grafana pv-solar-5y.json (mêmes panels) | API /api/v1/chart/history | API /api/v1/history/energy | Dashboard /dashboard/visualization,Production solaire totale
total_solar_power,,W,Calculé,energy-manager (alias solar_total_w),Même chemin que solar_total_w — alias pour dashboards legacy,daly-bms-server,5s,aucun consommateur (orphelin — alias rétrocompatibilité),Doublon historique de solar_total_w
dc_pv_power_w,,W,Victron VenusOS D-Bus,Victron system aggregate (Dc/Pv/Power),VenusOS D-Bus → NanoPi → N/{pid}/system/0/Dc/Pv/Power → energy-manager → POST /api/v1/solar/mppt-yield → write_solar_components(),daly-bms-server,5s,Grafana grafana-pv_dashboard.json (MPPT DC / Courbe Puissance) | Grafana pv-solar-5y.json (MPPT DC / Courbe Puissance) | API /api/v1/system/totals | API /api/v1/irradiance/status,Somme MPPT DC (source vérité Victron)
pvinv_power_w,,W,Victron VenusOS D-Bus,PVInverter ET112 micro-onduleurs (inst.32),VenusOS D-Bus → NanoPi → N/{pid}/pvinverter/{pv}/Ac/Power → energy-manager → POST /api/v1/solar/mppt-yield → write_solar_components(),daly-bms-server,5s,Grafana grafana-pv_dashboard.json (Micro-Onduleurs AC / Courbe Puissance) | Grafana pv-solar-5y.json (Micro-Onduleurs AC / Courbe) | API /api/v1/system/totals | API /api/v1/irradiance/status,Puissance AC micro-onduleurs
solar_yield_kwh,,kWh,Calculé,energy-manager (mppt_yield + pvinv_yield),energy-manager → POST /api/v1/solar/mppt-yield → write_solar_yield(),daly-bms-server,30s,Grafana grafana-pv_dashboard.json (Production Jour / Aujourd'hui kWh / Production Journalière / Cumulée 12 mois / Variation Annuelle) | Grafana pv-solar-5y.json (mêmes panels),Production solaire totale du jour
solar_total_wh,,Wh,Calculé,energy-manager (alias × 1000),Identique à solar_yield_kwh × 1000 — alias pour dashboards,daly-bms-server,30s,Grafana grafana-ess_dashboard.json (Production Solaire Aujourd'hui / 30 Jours),Alias kWh→Wh
pi5_cpu_percent,,%,Pi5 /proc/stat,Raspberry Pi 5,Pi5 OS → /proc/stat → daly-bms-server monitor.rs → state.on_monitor_snapshot() → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin — préparé pour dashboard monitor),CPU usage Pi5
pi5_memory_percent,,%,Pi5 /proc/meminfo,Raspberry Pi 5,Pi5 OS → /proc/meminfo → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin),Mémoire utilisée %
pi5_disk_percent,,%,Pi5 df,Raspberry Pi 5,Pi5 OS → df → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin),Disque utilisé %
pi5_load_avg,window,,Pi5 /proc/loadavg,Raspberry Pi 5,Pi5 OS → /proc/loadavg → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin),Load avg 1m/5m/15m
pi5_mem_used_mb,,MB,Pi5 /proc/meminfo,Raspberry Pi 5,Pi5 OS → /proc/meminfo → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin),Mémoire utilisée MB
pi5_swap_used_mb,,MB,Pi5 /proc/meminfo,Raspberry Pi 5,Pi5 OS → /proc/meminfo → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin),Swap utilisé MB
pi5_net_rx_bps,,bps,Pi5 /proc/net/dev,Raspberry Pi 5,Pi5 OS → /proc/net/dev → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin),Débit réseau reçu
pi5_net_tx_bps,,bps,Pi5 /proc/net/dev,Raspberry Pi 5,Pi5 OS → /proc/net/dev → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin),Débit réseau émis
pi5_uptime_secs,,s,Pi5 OS,Raspberry Pi 5,Pi5 OS → uptime → write_monitor(),daly-bms-server,5s,aucun consommateur (orphelin),Uptime du Pi5
pi5_cpu_temp_c,,°C,Pi5 /sys/class/thermal,Raspberry Pi 5,Pi5 OS → /sys/class/thermal → write_monitor(),daly-bms-server,60s,aucun consommateur (orphelin),Température CPU
em_cpu_percent,,%,Pi5 /proc/stat,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,5s,aucun consommateur (orphelin),CPU vu par energy-manager
em_cpu_temp_c,,°C,Pi5 /sys/class/thermal,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,60s,aucun consommateur (orphelin),Température CPU (vu EM)
em_memory_percent,,%,Pi5 /proc/meminfo,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,5s,aucun consommateur (orphelin),Mémoire % vu par EM
em_mem_used_mb,,MB,Pi5 /proc/meminfo,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,5s,aucun consommateur (orphelin),Mémoire utilisée MB (vu EM)
em_swap_used_mb,,MB,Pi5 /proc/meminfo,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,5s,aucun consommateur (orphelin),Swap MB (vu EM)
em_disk_percent,,%,Pi5 df,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,5s,aucun consommateur (orphelin),Disque % (vu EM)
em_load_avg,window,,Pi5 /proc/loadavg,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,5s,aucun consommateur (orphelin),Load avg (vu EM)
em_net_rx_bps,,bps,Pi5 /proc/net/dev,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,5s,aucun consommateur (orphelin),Débit RX (vu EM)
em_net_tx_bps,,bps,Pi5 /proc/net/dev,energy-manager process (Pi5),energy-manager monitoring.rs → santuario/em/metrics → write_em_metrics(),daly-bms-server,5s,aucun consommateur (orphelin),Débit TX (vu EM)
em_process_cpu_percent,process,%,Pi5 ps,energy-manager (top processus),energy-manager monitoring.rs → ps → POST /api/v1/import/prometheus (VM legacy directe — pas dans redb),energy-manager direct VM,N/A,aucun consommateur (orphelin — écrit en direct VM legacy non migré redb),HAUTE CARDINALITÉ (1 série/process) — non écrit dans redb
em_process_mem_mb,process,MB,Pi5 ps,energy-manager (top processus),energy-manager monitoring.rs → ps → POST /api/v1/import/prometheus (VM legacy directe),energy-manager direct VM,N/A,aucun consommateur (orphelin),HAUTE CARDINALITÉ — non écrit dans redb
em_tokio_task_polls_total,task,count,Tokio runtime,energy-manager (instrumented task),energy-manager monitoring.rs (TaskMonitor) → POST /api/v1/import/prometheus (VM legacy directe),energy-manager direct VM,N/A,aucun consommateur (orphelin),Métrique runtime tokio — non écrit dans redb
em_tokio_task_mean_poll_us,task,µs,Tokio runtime,energy-manager (instrumented task),energy-manager monitoring.rs → POST /api/v1/import/prometheus (VM legacy directe),energy-manager direct VM,N/A,aucun consommateur (orphelin),Métrique runtime tokio — non écrit dans redb
em_tokio_task_mean_scheduled_us,task,µs,Tokio runtime,energy-manager (instrumented task),energy-manager monitoring.rs → POST /api/v1/import/prometheus (VM legacy directe),energy-manager direct VM,N/A,aucun consommateur (orphelin),Métrique runtime tokio — non écrit dans redb
rule_eval_total,rule + result,count,energy-manager rule engine,rust-rule-engine evaluations,energy-manager rule_metrics.rs (compteur lazy_static) → POST /api/v1/import/prometheus (VM legacy directe),energy-manager direct VM,N/A,aucun consommateur (orphelin),Compteur d'évaluations par règle .grl — non écrit dans redb
